CAMPO;DESCRIZIONE CAMPO;CODICE;DESCRIZIONE CODICE
Tipores;Tipo residenza;1;famiglia
Tipores;Tipo residenza;2;convivenza anagrafica
Sesso;Genere;1;maschio
Sesso;Genere;2;femmina
eta;Anno di eta';0;numerico
Cittad;Cittadinanza;100;Italia
Cittad;Cittadinanza;201;Albania
Cittad;Cittadinanza;202;Andorra
Cittad;Cittadinanza;203;Austria
Cittad;Cittadinanza;206;Belgio
Cittad;Cittadinanza;209;Bulgaria
Cittad;Cittadinanza;212;Danimarca
Cittad;Cittadinanza;214;Finlandia
Cittad;Cittadinanza;215;Francia
Cittad;Cittadinanza;216;Germania
Cittad;Cittadinanza;219;Regno Unito
Cittad;Cittadinanza;220;Grecia
Cittad;Cittadinanza;221;Irlanda
Cittad;Cittadinanza;223;Islanda
Cittad;Cittadinanza;225;Liechtenstein
Cittad;Cittadinanza;226;Lussemburgo
Cittad;Cittadinanza;227;Malta
Cittad;Cittadinanza;229;Monaco
Cittad;Cittadinanza;231;Norvegia
Cittad;Cittadinanza;232;Paesi Bassi
Cittad;Cittadinanza;233;Polonia
Cittad;Cittadinanza;234;Portogallo
Cittad;Cittadinanza;235;Romania
Cittad;Cittadinanza;236;San Marino
Cittad;Cittadinanza;239;Spagna
Cittad;Cittadinanza;240;Svezia
Cittad;Cittadinanza;241;Svizzera
Cittad;Cittadinanza;243;Ucraina
Cittad;Cittadinanza;244;Ungheria
Cittad;Cittadinanza;245;Federazione russa
Cittad;Cittadinanza;246;Stato della Città del Vaticano
Cittad;Cittadinanza;247;Estonia
Cittad;Cittadinanza;248;Lettonia
Cittad;Cittadinanza;249;Lituania
Cittad;Cittadinanza;250;Croazia
Cittad;Cittadinanza;251;Slovenia
Cittad;Cittadinanza;252;Bosnia-Erzegovina
Cittad;Cittadinanza;253;Macedonia del Nord
Cittad;Cittadinanza;254;Moldova
Cittad;Cittadinanza;255;Slovacchia
Cittad;Cittadinanza;256;Bielorussia
Cittad;Cittadinanza;257;Repubblica ceca
Cittad;Cittadinanza;270;Montenegro
Cittad;Cittadinanza;271;Serbia
Cittad;Cittadinanza;272;Kosovo
Cittad;Cittadinanza;301;Afghanistan
Cittad;Cittadinanza;302;Arabia Saudita
