Sezione;Elettori;Votanti; RIFORMISTI PER EMILIA-ROMAGNA FUTURA; CIVICI CON DE PASCALE PRESIDENTE; MOVIMENTO CINQUE STELLE; ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE; PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE; RETE CIVICA ELENA UGOLINI PRESIDENTE; FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI; FRATELLI D'ITALIA - GIORGIA MELONI; LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA; LEALTÀ COERENZA VERITÀ; EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO;Schede Bianche;Schede Nulle;Schede Contestate
1;812;364;11;7;10;30;91;11;67;78;20;1;8;1;5;0;
2;675;335;4;6;14;27;104;2;42;70;13;1;6;0;5;0;
3;687;244;5;8;6;28;70;2;26;32;6;2;14;0;6;0;
4;646;302;5;6;15;25;77;9;51;48;26;2;4;2;3;0;
5;1287;342;9;14;7;22;93;14;38;69;21;3;8;0;6;0;
6;706;332;5;14;6;15;114;10;38;60;22;0;6;3;4;0;
7;771;294;7;5;14;22;118;13;31;39;10;1;2;1;9;0;
8;656;321;8;18;7;35;103;15;36;52;10;1;3;1;2;0;
9;781;359;6;13;5;45;114;11;36;71;9;2;11;0;3;0;
10;730;322;6;9;9;43;75;19;45;81;8;0;5;2;1;0;
11;824;411;10;13;12;30;101;17;53;111;10;6;3;0;3;0;
12;671;339;4;14;6;23;108;18;53;70;17;0;3;0;1;0;
13;825;329;3;14;16;37;97;18;32;66;8;2;2;4;8;0;
14;704;327;1;18;10;12;89;15;59;79;14;3;5;0;3;0;
15;652;322;4;4;5;30;104;14;42;70;10;0;4;1;4;0;
16;732;376;10;11;13;36;112;18;47;76;10;4;9;0;2;0;
17;789;391;1;8;4;38;117;30;60;66;14;3;3;2;4;0;
18;696;360;5;17;10;30;98;20;37;79;18;1;8;2;1;0;
19;733;379;10;7;8;20;106;12;55;97;27;2;8;1;2;0;
20;736;331;4;10;8;31;122;12;28;58;18;4;6;1;7;0;
21;707;349;9;10;16;18;139;7;38;64;12;1;6;0;1;0;
22;921;180;3;6;7;9;79;5;9;26;10;0;5;2;4;0;
23;83;43;1;0;1;1;18;2;3;8;3;0;0;1;1;0;
24;958;291;8;4;16;32;122;6;27;33;8;3;10;0;2;0;
25;852;402;11;12;12;69;140;6;36;53;12;1;17;3;2;0;
26;967;430;9;14;18;17;145;13;46;77;27;3;8;1;6;0;
27;762;375;12;7;15;37;158;16;22;52;8;2;7;2;1;0;
28;849;383;10;5;18;29;146;19;25;55;21;0;12;1;4;0;
29;865;396;2;9;14;38;164;11;30;51;18;2;10;0;3;0;
